Query,Landing Page,Clicks,% Δ,Impressions,% Δ,Average Position,Δ
yale lock battery life,https://www.slockhub.com/best/smart-locks-with-longest-battery-life,0,,1,-0.8,49,-5.600000000000001
yale or august smart lock,https://www.slockhub.com/compare/yale-vs-august,0,,1,-0.6666666666666666,18,-13.666666666666668
yale or godrej which is better,https://www.slockhub.com/compare/yale-vs-godrej,0,,1,-0.8,9,-0.1999999999999993
yale smart lock battery life,https://www.slockhub.com/best/smart-locks-with-longest-battery-life,0,,2,0,51.5,2
yale smart lock comparison,https://www.slockhub.com/compare/yale-vs-level,0,,2,1,79.5,26.5
yale smart lock technology,https://www.slockhub.com/brands/yale,0,,4,0.3333333333333333,27.25,8.916666666666668
yale vs august,https://www.slockhub.com/compare/yale-vs-august,0,,2,-0.3333333333333333,29,-6.666666666666664
yale vs godrej,https://www.slockhub.com/compare/yale-vs-godrej,0,-1,3,0.5,12.333333333333334,1.333333333333334
yale vs godrej locks,https://www.slockhub.com/compare/yale-vs-godrej,0,,8,-0.7333333333333333,11.625,2.658333333333333
yale vs godrej locks which is better,https://www.slockhub.com/compare/yale-vs-godrej,0,,1,,7,
yale vs kwikset,https://www.slockhub.com/compare/yale-vs-kwikset,0,,1,,42,
yale vs kwikset smart lock,https://www.slockhub.com/compare/yale-vs-kwikset,0,,1,,28,
yale vs schlage,https://www.slockhub.com/compare/yale-vs-schlage,0,,1,-0.5,74,23
z wave compatible door locks,https://www.slockhub.com/best/z-wave-smart-locks,0,,1,0,74,24
z wave compatible smart locks,https://www.slockhub.com/best/z-wave-smart-locks,0,,1,0,52,3
z wave door lock,https://www.slockhub.com/best/z-wave-smart-locks,0,,7,,44.142857142857146,
z wave door lock schlage,https://www.slockhub.com/brands/schlage/schlage-connect-zwave,0,,1,,63,
z wave door locks,https://www.slockhub.com/best/z-wave-smart-locks,0,,10,1,46.9,-30.9
z wave lock,https://www.slockhub.com/best/z-wave-smart-locks,0,,15,0.36363636363636365,53.333333333333336,-7.1212121212121176
z wave locks,https://www.slockhub.com/best/z-wave-smart-locks,0,,14,-0.4166666666666667,64.07142857142857,-9.220238095238102
z wave padlock,https://www.slockhub.com/best/z-wave-smart-locks,0,,1,,66,
z wave smart lock,https://www.slockhub.com/best/z-wave-smart-locks,0,,7,-0.2222222222222222,60.285714285714285,-8.269841269841272
z wave smart locks,https://www.slockhub.com/best/z-wave-smart-locks,0,,1,-0.8333333333333334,39,-30
z-wave lock,https://www.slockhub.com/best/z-wave-smart-locks,0,,3,0.5,58.666666666666664,3.1666666666666643
z-wave locks,https://www.slockhub.com/best/z-wave-smart-locks,0,,3,0,57,3.6666666666666643
z-wave smart lock,https://www.slockhub.com/best/z-wave-smart-locks,0,,3,0.5,41.666666666666664,-22.333333333333336
z-wave smart locks,https://www.slockhub.com/best/z-wave-smart-locks,0,,3,0.5,55.333333333333336,5.833333333333336
zwave door lock,https://www.slockhub.com/best/z-wave-smart-locks,0,,6,-0.25,56,-18.125
zwave door locks,https://www.slockhub.com/best/z-wave-smart-locks,0,,1,-0.8,61,-4.200000000000003
zwave lock,https://www.slockhub.com/best/z-wave-smart-locks,0,,3,-0.7,48.333333333333336,-14.466666666666661
zwave locks,https://www.slockhub.com/best/z-wave-smart-locks,0,,3,0,45.333333333333336,-13.666666666666664
zwave padlock,https://www.slockhub.com/best/z-wave-smart-locks,0,,1,,77,
zwave smart lock,https://www.slockhub.com/best/z-wave-smart-locks,0,,1,-0.75,46,-13.75
airbnb compatible smart locks,https://www.slockhub.com/best/smart-locks-for-airbnb,0,,1,-0.6666666666666666,80,0
